Linux 4.4.0-53-generic (diptprisrv08) 	12/20/2016 	_x86_64_	(12 CPU)

10:06:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:06:56 PM     all      1.51      0.00      0.17      0.00      0.00     98.33
10:06:57 PM     all      0.33      0.00      0.25      0.00      0.00     99.42
10:06:58 PM     all      3.17      0.00      0.42      0.17      0.00     96.24
10:06:59 PM     all     74.48      0.00      7.20      0.00      0.00     18.33
10:07:00 PM     all     61.87      0.00     10.07      0.00      0.00     28.06
10:07:01 PM     all     65.49      0.00     12.59      0.00      0.00     21.91
10:07:02 PM     all     71.00      0.00      9.72      0.00      0.00     19.28
10:07:03 PM     all     70.77      0.00      7.79      0.00      0.00     21.44
10:07:04 PM     all     69.61      0.00      8.90      1.51      0.00     19.98
10:07:05 PM     all     69.66      0.00     10.56      0.00      0.00     19.78
10:07:06 PM     all     70.88      0.00      9.62      0.00      0.00     19.50
10:07:07 PM     all     70.30      0.00      8.98      0.92      0.00     19.80
10:07:08 PM     all     73.03      0.00      9.63      0.00      0.00     17.34
10:07:09 PM     all     70.62      0.00      9.18      0.00      0.00     20.20
10:07:10 PM     all     73.11      0.00      8.91      1.34      0.00     16.64
10:07:11 PM     all     72.16      0.00     10.85      0.34      0.00     16.65
10:07:12 PM     all     70.68      0.00      9.11      2.59      0.00     17.63
10:07:13 PM     all     71.62      0.00      8.68      0.00      0.00     19.70
10:07:14 PM     all     70.00      0.00     10.17      1.76      0.00     18.07
10:07:15 PM     all     72.32      0.00     10.57      0.76      0.00     16.36
10:07:16 PM     all     71.86      0.00      8.79      0.00      0.00     19.35
10:07:17 PM     all     70.41      0.00      8.72      0.75      0.00     20.12
10:07:18 PM     all     71.05      0.00     10.04      1.34      0.00     17.57
10:07:19 PM     all     71.80      0.00     11.55      0.25      0.00     16.40
10:07:20 PM     all     71.22      0.00      9.73      0.25      0.00     18.79
10:07:21 PM     all     71.63      0.00      9.51      2.10      0.00     16.75
10:07:22 PM     all     72.76      0.00      8.72      0.00      0.00     18.52
10:07:23 PM     all     69.92      0.00      9.33      1.01      0.00     19.75
10:07:24 PM     all     74.26      0.00      9.59      0.93      0.00     15.22
10:07:25 PM     all     71.01      0.00      9.75      1.43      0.00     17.82
10:07:26 PM     all     71.72      0.00      8.62      0.00      0.00     19.67
10:07:27 PM     all     56.53      0.00      6.11      1.84      0.00     35.51
10:07:28 PM     all     20.02      0.00      0.17      0.17      0.00     79.65
10:07:29 PM     all      2.68      0.00      1.51      6.19      0.00     89.63
10:07:30 PM     all     14.01      0.00      2.43      5.79      0.00     77.77
10:07:31 PM     all     69.61      0.00     10.92      0.25      0.00     19.23
10:07:32 PM     all     70.01      0.00     12.30      0.34      0.00     17.35
10:07:33 PM     all     68.35      0.00     11.78      1.68      0.00     18.18
10:07:34 PM     all     67.00      0.00     12.46      1.01      0.00     19.53
10:07:35 PM     all     67.28      0.00     12.11      0.00      0.00     20.61
10:07:36 PM     all     67.93      0.00     12.76      1.76      0.00     17.55
10:07:37 PM     all     67.73      0.00     12.10      0.67      0.00     19.50
10:07:38 PM     all     68.99      0.00     11.43      2.02      0.00     17.56
10:07:39 PM     all     69.10      0.00     11.98      0.75      0.00     18.17
10:07:40 PM     all     66.28      0.00     13.02      2.17      0.00     18.53
10:07:41 PM     all     66.53      0.00     12.50      0.76      0.00     20.22
10:07:42 PM     all     67.79      0.00     11.49      0.08      0.00     20.64
10:07:43 PM     all     69.50      0.00     12.52      1.26      0.00     16.72
10:07:44 PM     all     69.28      0.00     11.60      0.25      0.00     18.86
10:07:45 PM     all     19.80      0.00      2.68      5.37      0.00     72.15
10:07:46 PM     all     66.50      0.00     10.97      3.43      0.00     19.10
10:07:47 PM     all     64.98      0.00     12.74      4.14      0.00     18.14
10:07:48 PM     all     66.24      0.00     12.24      1.35      0.00     20.17
10:07:49 PM     all     69.85      0.00     10.80      0.25      0.00     19.10
10:07:50 PM     all     70.91      0.00     11.72      0.00      0.00     17.37
10:07:51 PM     all     70.97      0.00      9.73      1.43      0.00     17.87
10:07:52 PM     all     71.27      0.00      9.38      0.84      0.00     18.51
10:07:53 PM     all     68.65      0.00     11.37      0.92      0.00     19.06
10:07:54 PM     all     69.99      0.00     11.57      0.59      0.00     17.85
10:07:55 PM     all     69.65      0.00     11.87      0.00      0.00     18.48
10:07:56 PM     all     68.82      0.00     11.26      2.35      0.00     17.56
10:07:57 PM     all     69.30      0.00     10.09      0.00      0.00     20.61
10:07:58 PM     all     71.26      0.00     10.08      2.10      0.00     16.55
10:07:59 PM     all     70.43      0.00     10.03      0.67      0.00     18.88
10:08:00 PM     all     62.95      0.00      8.38      1.93      0.00     26.74
10:08:01 PM     all     34.78      0.00      1.25      5.69      0.00     58.28
10:08:02 PM     all     20.59      0.00      1.00      6.36      0.00     72.05
10:08:03 PM     all     63.59      0.00     12.08      1.17      0.00     23.15
10:08:04 PM     all     67.57      0.00     12.30      1.43      0.00     18.70
10:08:05 PM     all     70.01      0.00     11.78      0.08      0.00     18.13
10:08:06 PM     all     67.00      0.00     10.89      1.42      0.00     20.69
10:08:07 PM     all     68.51      0.00     10.97      0.67      0.00     19.85
10:08:08 PM     all     68.17      0.00     10.80      0.75      0.00     20.27
10:08:09 PM     all     67.98      0.00     11.90      0.92      0.00     19.20
10:08:10 PM     all     73.15      0.00      9.48      0.34      0.00     17.03
10:08:11 PM     all     67.03      0.00     13.31      1.84      0.00     17.82
10:08:12 PM     all     64.88      0.00     13.58      0.67      0.00     20.87
10:08:13 PM     all     71.65      0.00     10.21      0.51      0.00     17.64
10:08:14 PM     all     67.73      0.00     12.69      0.42      0.00     19.16
10:08:15 PM     all     69.98      0.00     11.71      0.00      0.00     18.31
10:08:16 PM     all     64.55      0.00     13.55      1.67      0.00     20.23
10:08:17 PM     all     33.47      0.00      4.96      5.30      0.00     56.27
10:08:18 PM     all     61.14      0.00     10.47      2.26      0.00     26.13
10:08:19 PM     all     67.26      0.00     11.70      0.00      0.00     21.04
10:08:20 PM     all     66.92      0.00     12.37      0.76      0.00     19.95
10:08:21 PM     all     68.39      0.00     11.93      3.59      0.00     16.10
10:08:22 PM     all     67.89      0.00     11.79      1.34      0.00     18.98
10:08:23 PM     all     66.39      0.00     15.05      5.02      0.00     13.55
10:08:24 PM     all     66.81      0.00     14.67      1.26      0.00     17.27
10:08:25 PM     all     69.54      0.00     11.13      0.00      0.00     19.33
10:08:26 PM     all     68.73      0.00      9.89      1.93      0.00     19.45
10:08:27 PM     all     71.13      0.00      9.93      0.00      0.00     18.94
10:08:28 PM     all     71.66      0.00      9.34      1.18      0.00     17.83
10:08:29 PM     all     70.43      0.00     10.28      0.51      0.00     18.79
10:08:30 PM     all     68.71      0.00     10.43      0.50      0.00     20.35
10:08:31 PM     all     75.04      0.00      8.71      0.00      0.00     16.25
10:08:32 PM     all     70.39      0.00      6.63      0.67      0.00     22.32
10:08:33 PM     all     41.99      0.00      1.00      3.17      0.00     53.84
10:08:34 PM     all     17.55      0.00      0.92      6.47      0.00     75.06
10:08:35 PM     all     44.64      0.00      5.11      3.85      0.00     46.40
10:08:36 PM     all     71.01      0.00     11.28      0.08      0.00     17.63
10:08:37 PM     all     68.20      0.00      9.90      1.68      0.00     20.22
10:08:38 PM     all     67.70      0.00     11.55      0.25      0.00     20.50
10:08:39 PM     all     69.22      0.00     10.85      1.26      0.00     18.67
10:08:40 PM     all     69.51      0.00     10.61      0.67      0.00     19.21
10:08:41 PM     all     67.23      0.00      9.35      0.67      0.00     22.75
10:08:42 PM     all     70.84      0.00     10.84      0.17      0.00     18.15
10:08:43 PM     all     67.20      0.00     12.28      0.67      0.00     19.85
10:08:44 PM     all     66.08      0.00     13.35      0.76      0.00     19.82
10:08:45 PM     all     70.21      0.00     11.22      0.00      0.00     18.57
10:08:46 PM     all     71.12      0.00     10.24      0.67      0.00     17.97
10:08:47 PM     all     69.52      0.00     11.42      0.42      0.00     18.64
10:08:48 PM     all     69.70      0.00     10.44      1.09      0.00     18.77
10:08:49 PM     all     60.25      0.00      8.19      1.60      0.00     29.96
10:08:50 PM     all     23.69      0.00      1.42      6.42      0.00     68.47
10:08:51 PM     all     48.87      0.00      6.68      3.68      0.00     40.77
10:08:52 PM     all     66.19      0.00     13.05      1.26      0.00     19.50
10:08:53 PM     all     65.58      0.00     14.07      3.52      0.00     16.83
10:08:54 PM     all     67.59      0.00     11.56      0.67      0.00     20.18
10:08:55 PM     all     67.36      0.00     10.88      0.84      0.00     20.92
10:08:56 PM     all     67.06      0.00     12.67      0.59      0.00     19.68
10:08:57 PM     all     67.59      0.00     12.73      1.26      0.00     18.43
10:08:58 PM     all     68.04      0.00     11.44      0.76      0.00     19.76
10:08:59 PM     all     63.51      0.00     12.89      1.42      0.00     22.18
10:09:00 PM     all     67.11      0.00     12.44      2.50      0.00     17.95
10:09:01 PM     all     70.86      0.00     10.74      0.25      0.00     18.15
10:09:02 PM     all     71.27      0.00     10.13      0.84      0.00     17.76
10:09:03 PM     all     68.74      0.00     11.29      0.93      0.00     19.04
10:09:04 PM     all     70.45      0.00      8.73      1.01      0.00     19.82
10:09:05 PM     all     64.83      0.00      8.60      3.76      0.00     22.81
10:09:06 PM     all     61.92      0.00      5.36      3.35      0.00     29.37
10:09:07 PM     all     71.44      0.00     10.45      1.94      0.00     16.18
10:09:08 PM     all     69.21      0.00      9.90      0.00      0.00     20.89
10:09:09 PM     all     71.61      0.00     10.13      0.84      0.00     17.42
10:09:10 PM     all     70.07      0.00      9.19      0.84      0.00     19.90
10:09:11 PM     all     70.52      0.00      9.71      1.01      0.00     18.75
10:09:12 PM     all     69.69      0.00     11.82      3.33      0.00     15.15
10:09:13 PM     all     69.57      0.00     11.99      2.60      0.00     15.84
10:09:14 PM     all     70.31      0.00     11.61      0.76      0.00     17.33
10:09:15 PM     all     68.48      0.00     11.79      0.67      0.00     19.06
10:09:16 PM     all     71.14      0.00     10.82      0.00      0.00     18.04
10:09:17 PM     all     70.05      0.00     10.32      1.09      0.00     18.54
10:09:18 PM     all     67.20      0.00     11.97      0.08      0.00     20.74
10:09:19 PM     all     69.46      0.00     11.24      1.59      0.00     17.70
10:09:20 PM     all     60.92      0.00      9.79      0.92      0.00     28.37
10:09:21 PM     all     31.24      0.00      0.67      2.26      0.00     65.83
10:09:22 PM     all     16.03      0.00      0.92      6.84      0.00     76.21
10:09:23 PM     all     36.07      0.00      7.63      3.52      0.00     52.77
10:09:24 PM     all     66.30      0.00     12.86      0.00      0.00     20.84
10:09:25 PM     all     66.92      0.00     11.22      0.00      0.00     21.86
10:09:26 PM     all     65.88      0.00     12.82      2.26      0.00     19.03
10:09:27 PM     all     68.01      0.00     12.79      1.77      0.00     17.42
10:09:28 PM     all     66.64      0.00     11.54      0.00      0.00     21.82
10:09:29 PM     all     69.22      0.00     12.43      1.67      0.00     16.68
10:09:30 PM     all     67.25      0.00     12.47      0.75      0.00     19.53
10:09:31 PM     all     68.48      0.00     11.65      0.92      0.00     18.94
10:09:32 PM     all     69.77      0.00     11.89      0.00      0.00     18.34
10:09:33 PM     all     67.50      0.00     11.47      0.59      0.00     20.44
10:09:34 PM     all     69.35      0.00     11.67      0.00      0.00     18.98
10:09:35 PM     all     65.91      0.00     13.69      1.34      0.00     19.06
10:09:36 PM     all     71.32      0.00      9.36      0.00      0.00     19.31
10:09:37 PM     all     72.21      0.00      7.22      1.34      0.00     19.23
10:09:38 PM     all     43.91      0.00      0.75      5.43      0.00     49.92
10:09:39 PM     all     58.70      0.00      6.61      2.34      0.00     32.36
10:09:40 PM     all     71.20      0.00     10.16      0.76      0.00     17.88
10:09:41 PM     all     70.34      0.00     10.86      0.58      0.00     18.21
10:09:42 PM     all     68.91      0.00     12.18      1.43      0.00     17.48
10:09:43 PM     all     67.23      0.00     10.36      2.19      0.00     20.22
10:09:44 PM     all     68.68      0.00     11.34      0.42      0.00     19.56
10:09:45 PM     all     70.30      0.00      9.90      0.00      0.00     19.80
10:09:46 PM     all     67.42      0.00     11.75      0.67      0.00     20.15
10:09:47 PM     all     69.49      0.00     11.74      0.08      0.00     18.69
10:09:48 PM     all     71.08      0.00     11.32      2.01      0.00     15.59
10:09:49 PM     all     71.25      0.00     10.39      0.00      0.00     18.36
10:09:50 PM     all     68.06      0.00     13.13      1.34      0.00     17.47
10:09:51 PM     all     71.97      0.00     10.79      0.42      0.00     16.82
10:09:52 PM     all     67.56      0.00     11.26      1.26      0.00     19.92
10:09:53 PM     all     62.75      0.00      8.05      1.34      0.00     27.85
10:09:54 PM     all     29.84      0.00      1.59      5.03      0.00     63.54
10:09:55 PM     all     14.99      0.00      1.51      6.78      0.00     76.72
10:09:56 PM     all     18.60      0.00      3.34      6.01      0.00     72.06
10:09:57 PM     all     65.40      0.00     13.64      0.42      0.00     20.54
10:09:58 PM     all     65.24      0.00     10.19      0.59      0.00     23.99
10:09:59 PM     all     68.69      0.00     11.70      1.43      0.00     18.18
10:10:00 PM     all     68.48      0.00     12.07      1.76      0.00     17.69
10:10:01 PM     all     68.49      0.00     11.93      1.26      0.00     18.32
10:10:02 PM     all     67.76      0.00     12.09      1.68      0.00     18.47
10:10:03 PM     all     68.76      0.00     10.97      0.00      0.00     20.27
10:10:04 PM     all     62.43      0.00     13.89      2.34      0.00     21.34
10:10:05 PM     all     70.77      0.00     10.64      0.17      0.00     18.43
10:10:06 PM     all     67.14      0.00     11.90      0.84      0.00     20.12
10:10:07 PM     all     68.07      0.00     12.72      0.84      0.00     18.37
10:10:08 PM     all     67.00      0.00     12.40      0.50      0.00     20.10
10:10:09 PM     all     69.35      0.00     10.92      0.84      0.00     18.89
10:10:10 PM     all     73.03      0.00      9.38      1.93      0.00     15.66
10:10:11 PM     all     50.88      0.00      3.17      2.67      0.00     43.27
10:10:12 PM     all     28.21      0.00      1.25      5.93      0.00     64.61
10:10:13 PM     all     66.02      0.00     12.00      4.36      0.00     17.62
10:10:14 PM     all     66.55      0.00     13.61      2.69      0.00     17.14
10:10:15 PM     all     66.13      0.00     12.89      0.84      0.00     20.13
10:10:16 PM     all     66.47      0.00     11.54      0.08      0.00     21.91
10:10:17 PM     all     64.74      0.00     12.65      1.09      0.00     21.52
10:10:18 PM     all     65.99      0.00     12.88      0.25      0.00     20.88
10:10:19 PM     all     67.03      0.00     11.91      1.26      0.00     19.80
10:10:20 PM     all     69.35      0.00     12.01      1.18      0.00     17.46
10:10:21 PM     all     65.61      0.00     12.35      0.75      0.00     21.29
10:10:22 PM     all     70.70      0.00      9.74      1.60      0.00     17.97
10:10:23 PM     all     67.93      0.00     12.43      1.09      0.00     18.56
10:10:24 PM     all     68.09      0.00     10.83      0.00      0.00     21.07
10:10:25 PM     all     66.53      0.00     10.27      2.25      0.00     20.95
10:10:26 PM     all     69.46      0.00     11.76      1.18      0.00     17.60
10:10:27 PM     all     43.54      0.00      5.37      5.03      0.00     46.06
10:10:28 PM     all     68.99      0.00     11.43      0.42      0.00     19.16
10:10:29 PM     all     67.92      0.00     12.98      0.25      0.00     18.84
10:10:30 PM     all     70.16      0.00     11.32      1.76      0.00     16.76
10:10:31 PM     all     60.69      0.00     13.80      2.95      0.00     22.56
10:10:32 PM     all     64.98      0.00     12.12      1.35      0.00     21.55
10:10:33 PM     all     68.01      0.00     11.62      0.84      0.00     19.53
10:10:34 PM     all     66.00      0.00     13.53      0.00      0.00     20.47
10:10:35 PM     all     67.55      0.00     13.39      1.83      0.00     17.22
10:10:36 PM     all     70.08      0.00     11.60      0.84      0.00     17.48
10:10:37 PM     all     68.65      0.00     11.90      0.34      0.00     19.11
10:10:38 PM     all     66.64      0.00     11.65      1.26      0.00     20.45
10:10:39 PM     all     66.86      0.00     11.13      0.59      0.00     21.42
10:10:40 PM     all     70.88      0.00     10.27      0.42      0.00     18.43
10:10:41 PM     all     75.21      0.00      6.95      0.50      0.00     17.34
10:10:42 PM     all     71.94      0.00      4.44      0.00      0.00     23.62
10:10:43 PM     all     42.37      0.00      1.00      4.09      0.00     52.54
10:10:44 PM     all     54.64      0.00      6.61      2.34      0.00     36.40
10:10:45 PM     all     69.83      0.00     11.85      2.52      0.00     15.80
10:10:46 PM     all     69.35      0.00     11.14      3.10      0.00     16.42
10:10:47 PM     all     67.03      0.00     12.20      2.02      0.00     18.76
10:10:48 PM     all     70.19      0.00     10.08      0.00      0.00     19.73
10:10:49 PM     all     68.74      0.00     10.50      1.34      0.00     19.41
10:10:50 PM     all     69.94      0.00      9.24      0.08      0.00     20.74
10:10:51 PM     all     67.93      0.00     11.78      0.84      0.00     19.44
10:10:52 PM     all     70.94      0.00      9.21      0.42      0.00     19.43
10:10:53 PM     all     66.97      0.00     10.39      1.26      0.00     21.37
10:10:54 PM     all     69.51      0.00     11.56      0.25      0.00     18.68
10:10:55 PM     all     70.57      0.00      9.20      1.42      0.00     18.81
10:10:56 PM     all     68.45      0.00     10.93      1.25      0.00     19.37
10:10:57 PM     all     69.44      0.00     10.10      0.59      0.00     19.87
10:10:58 PM     all     64.18      0.00     11.66      1.51      0.00     22.65
10:10:59 PM     all     24.40      0.00      1.08      6.00      0.00     68.53
10:11:00 PM     all     11.20      0.00      1.00      6.69      0.00     81.10
10:11:01 PM     all      8.10      0.00      1.09      6.09      0.00     84.72
10:11:02 PM     all     56.46      0.00      8.89      2.27      0.00     32.38
10:11:03 PM     all     66.36      0.00     12.02      0.83      0.00     20.78
10:11:04 PM     all     67.87      0.00     10.93      1.01      0.00     20.19
10:11:05 PM     all     67.36      0.00     12.22      0.84      0.00     19.58
10:11:06 PM     all     68.43      0.00     11.98      0.50      0.00     19.10
10:11:07 PM     all     68.15      0.00     12.07      0.34      0.00     19.45
10:11:08 PM     all     70.23      0.00     10.62      0.00      0.00     19.15
10:11:09 PM     all     67.56      0.00     13.45      1.51      0.00     17.48
10:11:10 PM     all     70.22      0.00     11.74      0.25      0.00     17.79
10:11:11 PM     all     64.86      0.00     12.27      1.59      0.00     21.29
10:11:12 PM     all     68.43      0.00     11.34      0.25      0.00     19.98
10:11:13 PM     all     66.86      0.00     11.63      0.42      0.00     21.09
10:11:14 PM     all     69.50      0.00     10.36      0.67      0.00     19.46
10:11:15 PM     all     68.06      0.00     11.18      5.17      0.00     15.60
10:11:16 PM     all     72.04      0.00     10.10      1.59      0.00     16.28
10:11:17 PM     all     70.90      0.00     10.18      1.77      0.00     17.16
10:11:18 PM     all     70.84      0.00     10.19      0.00      0.00     18.96
10:11:19 PM     all     66.69      0.00     10.13      1.51      0.00     21.67
10:11:20 PM     all     69.68      0.00     11.31      0.00      0.00     19.01
10:11:21 PM     all     69.14      0.00     10.71      1.43      0.00     18.72
10:11:22 PM     all     71.75      0.00      9.97      0.00      0.00     18.27
10:11:23 PM     all     64.96      0.00      7.73      1.09      0.00     26.22
